Date,High,Low,Open,Close,Volume
16-Sep-22,31.63,29.33,30.92,31.2,1.91M
09-Sep-22,30.72,28.5,29.26,30.52,1.27M
02-Sep-22,30.34,27.68,30.28,29.09,1.20M
26-Aug-22,31.11,28.61,29.01,30.28,884.00K
19-Aug-22,29.79,29,29.59,29.21,827.59K
12-Aug-22,29.84,27.8,27.8,29.76,920.36K
05-Aug-22,28.35,27.1,28.25,27.79,1.12M
29-Jul-22,28.45,26.45,26.9,28.3,1.60M
22-Jul-22,27.68,26.12,26.29,26.53,1.03M
15-Jul-22,27.87,25.24,27.67,25.83,1.51M
08-Jul-22,28.5,25.82,28.36,27.81,1.51M
30-Jun-22,31.9,28,30.65,28.35,1.35M
24-Jun-22,31.7,28.33,30.6,30.15,1.66M
17-Jun-22,32.75,30.5,32.43,30.76,1.82M
10-Jun-22,35.38,33.35,33.93,33.59,2.02M
03-Jun-22,34.43,31.89,33.61,33.7,1.91M
27-May-22,33.77,32.46,33.25,33.6,743.48K
20-May-22,33.17,30.78,31.76,32.9,1.14M
13-May-22,31.85,28.28,31.55,31.5,1.91M
06-May-22,35.49,31.64,34.37,32.4,1.03M
29-Apr-22,35.95,34.34,35.52,34.76,1.94M
22-Apr-22,41.77,35.68,41.03,35.95,2.42M
14-Apr-22,41.23,39.33,40.34,41.1,965.29K
08-Apr-22,41.45,39.15,41.35,40.37,1.02M
01-Apr-22,42.86,41.03,42.25,41.3,1.08M
25-Mar-22,42.71,40.35,40.44,42.3,1.97M
18-Mar-22,44.39,38.38,44.25,40.19,4.60M
11-Mar-22,51,47.23,51,49.91,2.30M
04-Mar-22,50.05,45.07,45.36,49.98,1.78M
25-Feb-22,45.61,42.5,42.92,45.3,953.52K
18-Feb-22,44.5,43,44.26,43.18,1.04M
11-Feb-22,45.09,41.05,41.08,44.24,2.15M
04-Feb-22,41.1,39.08,39.75,41.01,1.36M
28-Jan-22,39.74,35.56,37.21,39.67,2.20M
21-Jan-22,39.53,37.21,39.26,37.53,1.35M
14-Jan-22,39.53,37.65,38.12,39,1.98M
07-Jan-22,38.22,36.42,37.5,38.15,1.15M
31-Dec-21,39.79,37.31,39.79,37.53,768.19K
24-Dec-21,39.86,35.48,36,39.68,1.58M
17-Dec-21,38,35.83,37.33,36.24,2.11M
10-Dec-21,38.05,35.5,35.93,37.2,1.28M
03-Dec-21,38.25,35.4,37.85,35.78,1.36M
26-Nov-21,38.63,35.47,35.94,37.22,1.64M
19-Nov-21,36.36,34.9,36.36,35.36,986.06K
12-Nov-21,36.27,34.43,35.44,35.99,1.61M
05-Nov-21,36.49,33.95,35.9,35.22,1.29M
29-Oct-21,37.61,35.78,36.77,35.83,1.46M
22-Oct-21,37.59,35.69,36.23,36.73,1.17M
15-Oct-21,36.79,34.98,35.61,36.21,1.56M
08-Oct-21,35.67,33.33,34.22,35.27,1.46M
01-Oct-21,40.36,33.74,39.22,34.47,4.21M
24-Sep-21,39.35,37.32,38.89,38.96,3.32M
17-Sep-21,43.15,39.09,42.38,39.59,2.56M
10-Sep-21,43,41.6,42.86,42.1,1.04M
03-Sep-21,44.46,41.38,43.55,43.03,1.66M
27-Aug-21,43.56,40.48,40.48,43.23,1.55M
20-Aug-21,49.37,39.4,49.05,40.28,2.58M
13-Aug-21,49.7,47.55,48.7,49.35,854.28K
06-Aug-21,49.83,46.98,48.74,48.9,733.10K
30-Jul-21,50.12,48,48.13,49.61,858.45K
23-Jul-21,48.06,44.77,47.35,47.93,1.09M
16-Jul-21,49.5,47.15,47.71,48.13,831.12K
09-Jul-21,48.6,46.16,47.82,47.73,776.53K
02-Jul-21,50.43,46.17,50.43,47.77,1.66M
25-Jun-21,50.45,46.19,46.52,50.22,1.92M
18-Jun-21,49.62,45.11,49.55,45.95,1.65M
11-Jun-21,49.38,45.8,46.5,49.27,1.07M
04-Jun-21,47.31,44.77,44.77,46.46,1.06M
28-May-21,44.57,41.85,42.9,44.38,1.04M
21-May-21,45.35,42.31,43.3,42.67,1.23M
14-May-21,44.98,42.6,43.11,43.33,1.22M
07-May-21,44.76,41.79,42.49,42.92,1.48M
30-Apr-21,42.94,40.38,40.51,42.02,1.55M
23-Apr-21,40.53,37.91,38.65,40.33,1.32M
16-Apr-21,38.45,36.08,36.51,38.42,1.56M
09-Apr-21,37.73,35.99,37.01,36.63,1.11M
01-Apr-21,38.04,35.57,37.94,37.45,1.51M
26-Mar-21,39.34,35.01,39.1,37.67,4.35M
19-Mar-21,40.76,38.25,40.5,39.14,6.26M
12-Mar-21,40.62,37.41,38.01,40.3,1.70M
05-Mar-21,39.4,36.4,37.16,38.19,1.82M
26-Feb-21,37.89,35.79,36.76,36.47,1.34M
19-Feb-21,36.75,34.38,34.86,36.63,998.03K
12-Feb-21,35.22,33.9,34,34.55,976.04K
05-Feb-21,33.95,31.62,32.06,33.8,1.44M
29-Jan-21,33.09,31.1,33.09,31.85,1.53M
22-Jan-21,34.19,32.09,32.98,32.76,955.15K
15-Jan-21,33.63,32.67,33.08,32.69,1.23M
08-Jan-21,33.48,31.67,32.85,33.43,1.78M
31-Dec-20,35.75,32.45,35.5,32.61,1.08M
24-Dec-20,35.42,33.93,34.11,34.98,1.00M
18-Dec-20,35.33,31.15,32.02,34.52,993.15K
11-Dec-20,32.12,30.28,31.29,31.94,1.04M
04-Dec-20,31.65,25.95,26.61,31.16,1.82M
27-Nov-20,26.81,24.19,24.4,26.31,866.33K
20-Nov-20,24.85,23.78,24.4,24.31,659.57K
13-Nov-20,25.88,23.47,25.87,24.1,765.15K
06-Nov-20,25.77,24.16,24.56,24.99,790.28K
30-Oct-20,25.87,23.86,25.78,24.49,460.52K
23-Oct-20,26.77,25.64,26.27,25.93,527.36K
16-Oct-20,27.09,24.79,25.65,26.46,807.38K
09-Oct-20,26.76,25.53,25.69,25.73,630.19K
02-Oct-20,26.22,25.28,26.22,25.8,690.34K
25-Sep-20,27.32,25.3,27.11,26,610.69K
18-Sep-20,28.08,26.05,26.9,27.48,1.20M
11-Sep-20,27.9,26.34,26.75,26.89,561.56K
04-Sep-20,28.34,26.75,27.78,27.19,626.44K
28-Aug-20,28.14,27.21,27.93,27.73,519.92K
21-Aug-20,28.95,27.7,27.79,27.79,578.45K
14-Aug-20,28.2,26.75,27.06,27.65,805.51K
07-Aug-20,27.79,25.4,25.94,27.05,609.24K
31-Jul-20,26.6,25.51,25.51,25.66,576.32K
24-Jul-20,26.89,24.94,26.43,25.52,792.75K
17-Jul-20,26.97,25.45,26.25,26.74,659.43K
10-Jul-20,26.2,24.16,24.19,26.18,1.04M
03-Jul-20,24.69,23.29,23.51,23.96,710.21K
26-Jun-20,24.93,23.49,23.71,23.8,1.03M
19-Jun-20,24.25,22.45,23.27,23.83,1.22M
12-Jun-20,24.85,22.75,23.43,23.79,1.36M
05-Jun-20,23.66,22.2,22.46,22.95,1.14M
29-May-20,22.78,20.9,21.19,22.41,1.26M
22-May-20,21.43,19.85,20.53,20.99,702.89K
15-May-20,20.7,18.53,20,19.45,902.70K
08-May-20,20.54,18.66,19.04,19.95,953.12K
01-May-20,21.25,19.04,19.76,19.26,1.32M
24-Apr-20,20.54,18.74,18.82,19.72,2.58M
17-Apr-20,19.68,17.02,18.19,19.36,1.11M
09-Apr-20,18.63,15.82,16.07,17.99,921.36K
03-Apr-20,17.58,15.24,16.48,15.59,1.11M
27-Mar-20,17.96,13.31,14.28,16.71,3.51M
20-Mar-20,16.42,13.25,14.72,14.41,3.13M
13-Mar-20,16.43,14,15.43,16.35,2.17M
06-Mar-20,20.45,16.97,19.55,17.13,1.48M
28-Feb-20,21.71,18.73,21.66,19.48,2.07M
21-Feb-20,22.81,20.98,20.99,22.3,1.34M
14-Feb-20,22.17,20.92,21.25,21.03,1.16M
07-Feb-20,22.88,20.91,21.09,21.31,1.55M
31-Jan-20,22.55,20.81,22.01,21.09,1.36M
24-Jan-20,23.8,21.91,23.67,22.29,2.92M
17-Jan-20,24.29,23.01,23.12,23.61,1.24M
