Date,Open,High,Low,Close,"Trend Supertrend (7,3)","MACD (12,26,9)","Signal MACD (12,26,9)","MACD (12,26,9)_hist",Volume
Jan 01 2024,361.55,395.85,361.55,383.84,298.38,37.36,30.75,6.61,71801376
Jan 08 2024,372.69,388.9,372.69,383.07,305.01,38.29,32.26,6.04,45203646
Jan 15 2024,377.88,401.5,368,387.7,305.43,38.96,33.6,5.36,83161142
Jan 22 2024,382.79,404.8,373.65,392.84,307.89,39.44,34.77,4.68,52786680
Jan 29 2024,387.81,422.9,387.81,406.77,320.6,40.49,35.91,4.58,99098182
Feb 05 2024,397.29,468.6,397.29,441.29,329.74,43.59,37.45,6.15,95497830
Feb 12 2024,419.29,487.6,419.29,463.66,335.71,47.32,39.42,7.9,106746354
Feb 19 2024,441.48,487.45,427.95,460.52,335.71,49.45,41.43,8.02,98438917
Feb 26 2024,451,451,429.65,443.01,335.71,49.15,42.97,6.18,46016159
Mar 04 2024,447.01,465.4,444.55,455.1,341.16,49.33,44.24,5.08,45325487
Mar 11 2024,451.05,462.85,401.2,435.07,341.16,47.3,44.85,2.45,79951693
Mar 18 2024,443.06,443.06,412.7,424.21,341.16,44.31,44.75,-0.43,44212048
Mar 25 2024,433.64,440.95,426.05,433.73,341.16,42.22,44.24,-2.02,37707502
Apr 01 2024,433.68,453.5,433.68,442.99,341.32,40.85,43.56,-2.72,45323198
Apr 08 2024,438.33,463.45,437.25,451.43,351.46,39.97,42.84,-2.87,38981995
